epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.9239885210990906,0.8623429536819458,0.07601165026426315,1e-04,0.9169449210166931,0.9403495192527771,0.9228610992431641,0.8588367700576782,0.07710938900709152,0.946933925151825,0.9025546908378601
1,0.9595244526863098,0.9230827689170837,0.04047499969601631,1e-04,0.9544132351875305,0.9677236080169678,0.8870278000831604,0.8028923869132996,0.11308149993419647,0.8182648420333862,0.9832064509391785
2,0.9684186577796936,0.9393447041511536,0.03157970309257507,1e-04,0.964915931224823,0.9742841720581055,0.940883994102478,0.8897824287414551,0.05916954576969147,0.9358037114143372,0.9502375721931458
3,0.9758219718933105,0.9530647993087769,0.024177849292755127,1e-04,0.9731462597846985,0.9802029728889465,0.9454721808433533,0.8980964422225952,0.054576244205236435,0.9284363389015198,0.9672665596008301
4,0.9761248230934143,0.953776478767395,0.023876000195741653,1e-04,0.9740105271339417,0.979813277721405,0.9495599269866943,0.9052327275276184,0.05047321319580078,0.9464420080184937,0.9552483558654785
5,0.9803043007850647,0.9615612626075745,0.01969556324183941,1e-04,0.9782507419586182,0.9836381077766418,0.9404115080833435,0.8909387588500977,0.059626255184412,0.9481773972511292,0.9408572912216187
6,0.9820547699928284,0.9649397730827332,0.017943717539310455,1e-04,0.9802945256233215,0.9849873185157776,0.9562050104141235,0.9172297716140747,0.043824270367622375,0.949523389339447,0.9656683802604675
7,0.9829803705215454,0.9666934013366699,0.017020070925354958,1e-04,0.981336236000061,0.9857292175292969,0.957959771156311,0.9202732443809509,0.04207037016749382,0.9458522796630859,0.9723173975944519
8,0.9845221638679504,0.9696911573410034,0.015477072447538376,1e-04,0.9830131530761719,0.9870189428329468,0.9564940929412842,0.9176064133644104,0.04354165121912956,0.9597299098968506,0.9549157023429871
9,0.9828026294708252,0.9665684103965759,0.017195550724864006,1e-04,0.9813998341560364,0.9854128360748291,0.9561911821365356,0.9173391461372375,0.04383936524391174,0.9465611577033997,0.9701684713363647
10,0.9881932735443115,0.9767158031463623,0.011805868707597256,1e-04,0.9870097041130066,0.9902299642562866,0.946243941783905,0.8995589017868042,0.0537954680621624,0.9301329851150513,0.9666726589202881
11,0.9840929508209229,0.9690942168235779,0.01590604893863201,1e-04,0.9828571081161499,0.9865171909332275,0.9561589360237122,0.9171239137649536,0.04386845976114273,0.9545063376426697,0.9603662490844727
12,0.9890233874320984,0.9783315658569336,0.010978009551763535,1e-04,0.9879740476608276,0.9908339381217957,0.948456346988678,0.9037485122680664,0.051603227853775024,0.9330413341522217,0.9677309989929199
