epoch,dice_coef,iou,loss,lr,precision,recall
0,0.8974596858024597,0.8222596645355225,0.10255612432956696,1e-04,0.894277811050415,0.918427050113678
1,0.9472467303276062,0.9025798439979553,0.05275815725326538,1e-04,0.9438819289207458,0.9579511880874634
2,0.9616895318031311,0.9276922345161438,0.03831551596522331,1e-04,0.9585586786270142,0.9697871208190918
3,0.9697749018669128,0.9422933459281921,0.03022962249815464,1e-04,0.9671448469161987,0.976344883441925
4,0.9733800292015076,0.9487960934638977,0.026622366160154343,1e-04,0.9710817933082581,0.9787905812263489
5,0.9761171936988831,0.9539454579353333,0.02388644963502884,1e-04,0.9743221998214722,0.9805894494056702
6,0.9783479571342468,0.9580795764923096,0.02165391854941845,1e-04,0.9769108295440674,0.9821645617485046
7,0.9811888933181763,0.9633842706680298,0.018813541159033775,1e-04,0.9798079133033752,0.9847122430801392
8,0.984367847442627,0.969391405582428,0.01563320681452751,1e-04,0.9831958413124084,0.9875175952911377
9,0.9833885431289673,0.9676260352134705,0.01661377027630806,1e-04,0.9828490614891052,0.9861530661582947
10,0.9819061160087585,0.9651092290878296,0.018094465136528015,1e-04,0.981281042098999,0.9844539165496826
11,0.9865276217460632,0.9735985994338989,0.01347388420253992,1e-04,0.9858635067939758,0.98897784948349
12,0.9849355816841125,0.9706984758377075,0.015065289102494717,1e-04,0.9844471216201782,0.9873613715171814
13,0.9879440069198608,0.9762880802154541,0.012057937681674957,1e-04,0.9873981475830078,0.9900599718093872
14,0.9858232140541077,0.972445011138916,0.014179423451423645,1e-04,0.98575758934021,0.9877652525901794
15,0.9898351430892944,0.9799303412437439,0.010166806168854237,1e-04,0.9894298911094666,0.9916896224021912
16,0.9848769903182983,0.9712098836898804,0.015125371515750885,1e-04,0.9836341738700867,0.9878934621810913
17,0.9887488484382629,0.9781292080879211,0.011251404881477356,1e-04,0.9883882999420166,0.9907385110855103
18,0.9887036681175232,0.9778336882591248,0.011298519559204578,1e-04,0.9883087277412415,0.9904610514640808
19,0.989844799041748,0.9799863696098328,0.010156765580177307,1e-04,0.9894798994064331,0.9914981126785278
